article_link	ticker	date	ticker_from_text	word_count	pos_count	neg_count
/article/247197-apple-management-discusses-q1-2011-results-earnings-call-transcript	AAPL	1/18/2011	AAPL	1998	1089.0640869140625	908.935791015625
/article/230710-apples-ceo-discusses-f4q10-results-earnings-call-transcript	AAPL	10/18/2010	AAPL	3724	1626.568359375	2097.431396484375
/article/215492-apple-inc-f3q10-qtr-end-06-26-10-earnings-call-transcript	AAPL	7/20/2010	AAPL	1942	975.498291015625	966.5015869140625
/article/199800-apple-inc-f2q10-qtr-end-03-27-10-earnings-call-transcript	AAPL	4/20/2010	AAPL	7826	2902.735595703125	4923.2666015625
/article/184328-apple-inc-f1q10-qtr-end-12-26-09-earnings-call-transcript	AAPL	1/25/2010	AAPL	7968	2690.18603515625	5277.81591796875
/article/4527231-apple-inc-aapl-ceo-tim-cook-on-q3-2022-results-earnings-call-transcript	AAPL	7/28/2022	AAPL	3027	1942.2236328125	1084.7769775390625
/article/4504834-apple-inc-aapl-ceo-tim-cook-on-q2-2022-results-earnings-call-transcript	AAPL	4/28/2022	AAPL	3116	1971.13232421875	1144.8681640625
/article/4482308-apple-inc-aapl-ceo-tim-cook-on-q1-2022-results-earnings-call-transcript	AAPL	1/27/2022	AAPL	3208	2115.69921875	1092.3011474609375
/article/4463261-apple-inc-aapl-ceo-tim-cook-on-q4-2021-results-earnings-call-transcript	AAPL	10/28/2021	AAPL	3453	2206.863037109375	1246.13720703125
/article/4441901-apple-inc-aapl-ceo-tim-cook-on-q3-2021-results-earnings-call-transcript	AAPL	7/27/2021	AAPL	3243	2147.435302734375	1095.56494140625
/article/4422230-apple-inc-aapl-ceo-tim-cook-on-q2-2021-results-earnings-call-transcript	AAPL	4/28/2021	AAPL	3284	2261.68896484375	1022.3111572265625
/article/4401478-apple-inc-aapl-ceo-tim-cook-on-q1-2021-results-earnings-call-transcript	AAPL	1/27/2021	AAPL	3227	2116.115478515625	1110.8843994140625
/article/4382943-apple-inc-aapl-ceo-tim-cook-on-q4-2020-results-earnings-call-transcript	AAPL	10/29/2020	AAPL	3930	2650.3955078125	1279.6041259765625
/article/4362707-apple-inc-aapl-ceo-tim-cook-on-q3-2020-results-earnings-call-transcript	AAPL	7/30/2020	AAPL	3586	2219.450927734375	1366.5484619140625
/article/4341792-apple-inc-aapl-ceo-tim-cook-on-q2-2020-results-earnings-call-transcript	AAPL	4/30/2020	AAPL	4094	2445.0234375	1648.976806640625
/article/4319666-apple-inc-aapl-ceo-tim-cook-on-q1-2020-results-earnings-call-transcript	AAPL	1/28/2020	AAPL	3180	2168.7841796875	1011.2164306640625
/article/4300690-apple-inc-aapl-ceo-tim-cook-on-q4-2019-results-earnings-call-transcript	AAPL	10/30/2019	AAPL	4314	3277.2578125	1036.7410888671875
/article/4279301-apple-inc-aapl-ceo-tim-cook-on-q3-2019-results-earnings-call-transcript	AAPL	7/30/2019	AAPL	4046	2907.198974609375	1138.801513671875
/article/4258275-apple-inc-aapl-ceo-tim-cook-on-q2-2019-results-earnings-call-transcript	AAPL	4/30/2019	AAPL	4297	2754.644287109375	1542.3553466796875
/article/4236503-apple-inc-aapl-ceo-tim-cook-on-q1-2019-results-earnings-call-transcript	AAPL	1/29/2019	AAPL	3992	2565.117431640625	1426.883056640625
/article/4217359-apple-aapl-q4-2018-results-earnings-call-transcript	AAPL	11/1/2018	AAPL	3859	2400.6044921875	1458.3966064453125
/article/4192790-apple-aapl-q3-2018-results-earnings-call-transcript	AAPL	7/31/2018	AAPL	3855	2500.264892578125	1354.7352294921875
